danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,retro
0.73,0.77,8,-5.114,0.0298,0.138,0,0.0473,0.507,104.948,4,False
0.378,0.638,10,-5.576,0.075,0.02,7.66e-05,0.0849,0.735,184.086,4,False
0.543,0.728,6,-6.341,0.315,0.0269,0,0.035,0.738,91.374,4,False
0.422,0.264,8,-7.064,0.0322,0.922,0,0.132,0.331,119.93,4,False
0.7,0.695,7,-4.973,0.0897,0.00629,0,0.0319,0.633,122.028,4,False
0.66,0.805,1,-5.352,0.153,0.0192,8.83e-06,0.159,0.625,103.009,4,False
0.803,0.631,8,-4.213,0.0444,0.102,7.39e-06,0.0858,0.659,104.999,4,False
0.571,0.565,2,-8.769,0.272,0.261,0,0.289,0.134,168.252,4,False
0.781,0.745,4,-5.81,0.0332,0.198,1.14e-05,0.36,0.326,129.998,4,False
0.332,0.635,7,-5.653,0.0898,0.159,2.79e-06,0.0599,0.261,186.249,3,False
0.453,0.441,0,-6.275,0.0435,0.521,0.000135,0.106,0.184,84.672,4,False
0.428,0.65,5,-4.876,0.0771,0.137,0,0.399,0.71,77.041,4,False
0.484,0.731,1,-6.694,0.0379,0.431,0,0.151,0.51,101.654,4,False
0.566,0.664,4,-5.303,0.0464,0.634,0,0.116,0.437,128.945,4,False
0.712,0.65,7,-6.941,0.0649,0.000429,0,0.406,0.565,111.509,4,False
0.358,0.557,10,-7.398,0.059,0.695,0,0.0902,0.494,85.043,4,False
0.604,0.787,0,-3.674,0.103,0.0679,0.15,0.127,0.301,126.062,4,False
0.755,0.74,1,-4.951,0.0407,0.0225,0.00139,0.124,0.609,127.98,4,False
0.947,0.687,1,-8.166,0.248,0.291,0,0.0843,0.548,119.964,3,False
0.629,0.869,7,-7.013,0.314,0.00657,0,0.191,0.715,125.024,4,False
0.754,0.804,4,-3.177,0.0853,0.00332,0,0.0329,0.818,119.968,4,False
0.652,0.812,3,-3.797,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,4,False
0.721,0.867,11,-4.302,0.196,0.29,2.87e-06,0.503,0.639,127.033,4,False
0.692,0.786,2,-2.959,0.069,0.23,0,0.0797,0.583,100.025,4,False
0.691,0.795,1,-4.021,0.0355,0.000812,1.02e-06,0.156,0.876,133.971,4,False
0.353,0.815,7,-1.844,0.212,0.164,0,0.217,0.245,167.971,4,False
0.752,0.727,5,-4.161,0.16,0.0246,0,0.272,0.361,130.015,4,False
0.849,0.855,4,-3.955,0.117,0.00248,1.2e-05,0.139,0.564,98.052,4,False
